1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Rochester Royals,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit Pistons,Cleveland Cavaliers,Houston Rockets,San Antonio Spurs,Indiana Pacers,Atlanta Hawks,New Jersey Nets,Detroit Pistons,Chicago Bulls,Portland Trail Blazers,Dallas Mavericks,Seattle SuperSonics,Houston Rockets,Utah Jazz,Seattle SuperSonics,Golden State Warriors,New Jersey Nets,New Jersey Nets,Charlotte Hornets,Los Angeles Lakers,Phoenix Suns,Minnesota Timberwolves,Sacramento Kings,Seattle SuperSonics,Indiana Pacers,Seattle SuperSonics,Indiana Pacers,Denver Nuggets,Chicago Bulls,Indiana Pacers,Toronto Raptors,Philadelphia 76ers,Philadelphia 76ers,Denver Nuggets,Portland Trail Blazers,Atlanta Hawks,Boston Celtics,Golden State Warriors,Milwaukee Bucks,Boston Celtics,Chicago Bulls,Oklahoma City Thunder,Brooklyn Nets,Dallas Mavericks,Portland Trail Blazers,Toronto Raptors,Memphis Grizzlies,Milwaukee Bucks
Washington Capitols,,,,,,,,,,,,,,,,,,,,,,,,,,,San Antonio Spurs,Phoenix Suns,New Jersey Nets,Washington Bullets,New York Knicks,New Jersey Nets,Seattle SuperSonics,Philadelphia 76ers,Cleveland Cavaliers,Utah Jazz,Indiana Pacers,Washington Bullets,Boston Celtics,Houston Rockets,Phoenix Suns,Los Angeles Lakers,Utah Jazz,Portland Trail Blazers,Cleveland Cavaliers,Phoenix Suns,Portland Trail Blazers,Atlanta Hawks,Houston Rockets,Charlotte Hornets,Minnesota Timberwolves,Toronto Raptors,Milwaukee Bucks,Houston Rockets,Denver Nuggets,Sacramento Kings,Denver Nuggets,Washington Wizards,Portland Trail Blazers,Oklahoma City Thunder,San Antonio Spurs,Chicago Bulls,Denver Nuggets,Memphis Grizzlies,Dallas Mavericks,Los Angeles Clippers,Memphis Grizzlies,Washington Wizards,Oklahoma City Thunder,Orlando Magic,Boston Celtics,Utah Jazz,Cleveland Cavaliers,Philadelphia 76ers
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Trail Blazers,Dallas Mavericks,Chicago Bulls,Portland Trail Blazers,Houston Rockets,Denver Nuggets,Milwaukee Bucks,San Antonio Spurs,New Jersey Nets,Boston Celtics,San Antonio Spurs,Seattle SuperSonics,Sacramento Kings,Charlotte Hornets,Cleveland Cavaliers,Minnesota Timberwolves,Minnesota Timberwolves,Orlando Magic,Orlando Magic,Minnesota Timberwolves,Milwaukee Bucks,Philadelphia 76ers,Washington Wizards,Los Angeles Lakers,Dallas Mavericks,New Orleans Hornets,Portland Trail Blazers,Denver Nuggets,New York Knicks,Houston Rockets,Toronto Raptors,Portland Trail Blazers,Dallas Mavericks,Milwaukee Bucks,Miami Heat,Orlando Magic,Portland Trail Blazers,Memphis Grizzlies,Atlanta Hawks,Los Angeles Clippers,Los Angeles Lakers
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle SuperSonics,Washington Bullets,New Jersey Nets,Chicago Bulls,New York Knicks,Philadelphia 76ers,Dallas Mavericks,Houston Rockets,Indiana Pacers,Indiana Pacers,Cleveland Cavaliers,Atlanta Hawks,Cleveland Cavaliers,Los Angeles Clippers,Phoenix Suns,Orlando Magic,San Antonio Spurs,Phoenix Suns,Utah Jazz,New Orleans Hornets,Boston Celtics,Sacramento Kings,Denver Nuggets,Miami Heat,Phoenix Suns,San Antonio Spurs,Chicago Bulls,Indiana Pacers,Orlando Magic,Los Angeles Clippers,Houston Rockets,Boston Celtics,Houston Rockets,Oklahoma City Thunder,Minnesota Timberwolves,Utah Jazz,Brooklyn Nets,New York Knicks,Chicago Bulls,Milwaukee Bucks,Miami Heat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington Bullets,New Jersey Nets,Sacramento Kings,Denver Nuggets,Portland Trail Blazers,Portland Trail Blazers,Denver Nuggets,Milwaukee Bucks,Miami Heat,Portland Trail Blazers,Golden State Warriors,Denver Nuggets,Detroit Pistons,Minnesota Timberwolves,Portland Trail Blazers,Milwaukee Bucks,Detroit Pistons,Miami Heat,Minnesota Timberwolves,Phoenix Suns,Memphis Grizzlies,Memphis Grizzlies,Milwaukee Bucks,Orlando Magic,Toronto Raptors,Utah Jazz,Miami Heat,Philadelphia 76ers,Dallas Mavericks,Los Angeles Lakers,Chicago Bulls,New Orleans Pelicans,Detroit Pistons,Indiana Pacers,San Antonio Spurs,Detroit Pistons,Indiana Pacers,Washington Wizards,Denver Nuggets,Minnesota Timberwolves,New Orleans Pelicans
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kansas City Kings,Phoenix Suns,San Antonio Spurs,Washington Bullets,San Antonio Spurs,Utah Jazz,Indiana Pacers,New York Knicks,San Antonio Spurs,Atlanta Hawks,Orlando Magic,Portland Trail Blazers,Miami Heat,Washington Bullets,New Jersey Nets,Phoenix Suns,Toronto Raptors,Portland Trail Blazers,Portland Trail Blazers,Utah Jazz,New York Knicks,New Jersey Nets,Memphis Grizzlies,Washington Wizards,Denver Nuggets,Detroit Pistons,Charlotte Bobcats,New York Knicks,Utah Jazz,Milwaukee Bucks,Charlotte Bobcats,Toronto Raptors,Memphis Grizzlies,Portland Trail Blazers,Portland Trail Blazers,Indiana Pacers,Philadelphia 76ers,Miami Heat,Brooklyn Nets,Brooklyn Nets,Phoenix Suns
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago Bulls,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Orleans Pelicans,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma City Thunder,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toronto Raptors,
